1.8275	3904
1.52234	3578
1.35227	5004
1.73205	21754
1.77054	1388
1.8153	1490
1.04444	1338
1.02295	2020
1.56678	494
1.38618	426
1.85246	538
1.37778	660
1.86442	862
1.78982	836
1.04515	968
1.75218	448
1.54456	1996
1.36915	2074
1.03351	4262
1.75161	2720
1.84284	2770
1.8368	2456
1.77068	1672
1.80589	218
1.82127	6642
1.34825	3562
1.33129	6248
1.53333	2000
1.75133	4090
1.02222	2464
1.35665	2252
1.01129	4816
1.55603	530
1.39009	652
1.01276	246
1.7711	720
1.85566	484
1.02512	38
1.80917	102
1.75302	36
1.37329	1808
1.84912	1474
1.05573	1146
1.05713	96
1.06736	208
1.7718	106
1.87076	238
1.85831	1132
1.83101	820
1.51111	2782
1.34458	434
1.55556	654
1.36536	982
1.83397	1338
1.03494	340
1.00074	102
1.40704	84
1.35883	4
1.81897	26
1.53382	1048
1.8123	290
1.33555	568
1.06667	266
1.7901	362
1.5116	164
1.07795	138
1.57825	66
1.84069	218
1.36192	146
1.39434	280
1.86243	58
1.84685	142
1.73262	20
1.32739	98
1.80903	94
1.79065	86
1.82588	12
1.38261	276
1.41107	62
1.79148	10
1.07932	14
1.4	12
1.88967	14
1.6	18
1.40387	8
1.9014	10
1.34017	156
1.57778	150
1.87735	46
1.56773	28
1.87393	184
1.08889	34
1.36137	142
1.39894	66
1.87985	196
1.54552	142
1.82547	30
1.42794	14
1.88418	8
1.58994	14
1.86283	6
1.55746	12
1.89242	28
1.41544	18
1.52332	58
1.73219	52
1.82831	20
1.77277	8
1.08957	18
1.88601	98
1.80958	36
1.04728	40
1.73433	2
1.82858	16
1.40335	38
1.58901	48
1.37939	18
1.8415	16
1.86825	58
1.10017	14
1.90762	4
1.53526	8
1.81026	8
1.37185	2
1.51307	8
1.36644	14
1.60046	2
1.42413	6
1.34513	6
1.84765	16
1.89541	30
1.38778	2
1.82912	4
1.11111	2
1.05993	2
1.31036	2
1.48939	2
1.06944	4
1.00296	2
1.34127	4
1.80411	2
1.37652	4
1.56962	2
1.91408	2
1.44136	4
1.62268	4
1.89906	2
1.43208	2
